OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
129	Eukaryota	Cercozoa	Filosa-Imbricatea	Marimonadida	Marimonadida_X	Marimonadida_XX	Marimonadida_XX_sp.
87	Eukaryota	Metazoa	Arthropoda	Crustacea	Maxillopoda	Maxillopoda_unclassified	
212	Eukaryota	Stramenopiles_X	Stramenopiles_X_unclassified	Stramenopiles_X_unclassified	Stramenopiles_X_unclassified	Stramenopiles_X_unclassified	
207	Eukaryota	Chlorophyta	Trebouxiophyceae	Chlorellales	Chlorellales_X	Picochlorum	Picochlorum_sp.
221	Eukaryota	Ciliophora	Spirotrichea	Strombidiida	Strombidiida_unclassified	Strombidiida_unclassified	
215	Eukaryota	Cercozoa	Filosa-Thecofilosea	Ebriida	Ebriida_unclassified	Ebriida_unclassified	
218	Eukaryota	Stramenopiles_X	MAST	MAST-1	MAST-1A	MAST-1A_X	MAST-1A_X_sp.
229	Eukaryota	Stramenopiles_X	Labyrinthulea	Labyrinthulales	Labyrinthulaceae	Oblongichytrium	Oblongichytrium_sp.
219	Eukaryota	Picozoa	Picozoa_X	Picozoa_XX	Picozoa_XXX	Picozoa_XXXX	Picozoa_XXXX_sp.
226	Eukaryota	Cercozoa	Filosa-Imbricatea	Euglyphida	Euglyphida_X	Euglyphida_XX	Euglyphida_XX_sp.
225	Eukaryota	Chlorophyta	Ulvophyceae	Ulvales-relatives	Ulvales-relatives_X	Ulvales-relatives_XX	Ulvales-relatives_XX_sp.
235	Eukaryota	Ciliophora	Oligohymenophorea	Scuticociliatia_1	Philasterida	Miamiensis	Miamiensis_avidus
220	Eukaryota	Dinoflagellata	Dinophyceae	Dinophyceae_unclassified	Dinophyceae_unclassified	Dinophyceae_unclassified	
234	Eukaryota	Cercozoa	Filosa-Thecofilosea	Ventricleftida	CCW10-lineage	CCW10-lineage_X	CCW10-lineage_X_sp.
242	Eukaryota	Chlorophyta	Trebouxiophyceae	Microthamniales	Microthamniales_X	Trebouxia	Trebouxia_sp.
214	Eukaryota	Dinoflagellata	Syndiniales	Dino-Group-II	Dino-Group-II-Clade-10-and-11	Dino-Group-II-Clade-10-and-11_X	Dino-Group-II-Clade-10-and-11_X_sp.
