sample_title	internal_id	locus_tag	preservation	time	extraction	forward_read_file_name	reverse_read_file_name
50w_PW_bac_PB_rep2	FE77_PW_bactV4V5_P_Buffer_50_weeks	16S	PBuffer	50w	PowerWater	FE77_PW_bactV4V5_P_Buffer_50_weeks_S165_L001_R1_001.fastq.gz	FE77_PW_bactV4V5_P_Buffer_50_weeks_S165_L001_R2_001.fastq.gz
50w_NS_euk_PB_rep2	FE77_NS_euk_PBuffer_50_weeks	18S	PBuffer	50w	NucleoSpin	FE-77_S47_L001_R1_001.fastq.gz	FE-77_S47_L001_R2_001.fastq.gz
50w_PW_euk_PB_rep2	FE77_PW_euk_PBuffer_50_weeks	18S	PBuffer	50w	PowerWater	FE77-PBuffer-50weeks_S89_L001_R1_001.fastq.gz	FE77-PBuffer-50weeks_S89_L001_R2_001.fastq.gz
50w_NS_bac_PB_rep3	FE78_NS_bactV4V5_P_Buffer_50_weeks	16S	PBuffer	50w	NucleoSpin	FE78_NS_bactV4V5_P_Buffer_50_weeks_S78_L001_R1_001.fastq.gz	FE78_NS_bactV4V5_P_Buffer_50_weeks_S78_L001_R2_001.fastq.gz
50w_PW_bac_PB_rep3	FE78_PW_bactV4V5_P_Buffer_50_weeks	16S	PBuffer	50w	PowerWater	FE78_PW_bactV4V5_P_Buffer_50_weeks_S166_L001_R1_001.fastq.gz	FE78_PW_bactV4V5_P_Buffer_50_weeks_S166_L001_R2_001.fastq.gz
50w_NS_euk_PB_rep3	FE78_NS_euk_PBuffer_50_weeks	18S	PBuffer	50w	NucleoSpin	FE-78_S55_L001_R1_001.fastq.gz	FE-78_S55_L001_R2_001.fastq.gz
50w_NS_bac_PB_rep4	FE79_NS_bactV4V5_P_Buffer_50_weeks	16S	PBuffer	50w	NucleoSpin	FE79_NS_bactV4V5_P_Buffer_50_weeks_S79_L001_R1_001.fastq.gz	FE79_NS_bactV4V5_P_Buffer_50_weeks_S79_L001_R2_001.fastq.gz
50w_PW_bac_PB_rep4	FE79_PW_bactV4V5_P_Buffer_50_weeks	16S	PBuffer	50w	PowerWater	FE79_PW_bactV4V5_P_Buffer_50_weeks_S167_L001_R1_001.fastq.gz	FE79_PW_bactV4V5_P_Buffer_50_weeks_S167_L001_R2_001.fastq.gz
50w_NS_euk_PB_rep4	FE79_NS_euk_PBuffer_50_weeks	18S	PBuffer	50w	NucleoSpin	FE-79_S63_L001_R1_001.fastq.gz	FE-79_S63_L001_R2_001.fastq.gz
10w_PW_euk_HgCl_rep3	FE07_PW_euk_Mercury_Chloride_10_weeks	18S	HgCl	10w	PowerWater	FE7-HGCL2-10weeks_S71_L001_R1_001.fastq.gz	FE7-HGCL2-10weeks_S71_L001_R2_001.fastq.gz
50w_NS_bac_PB_rep5	FE80_NS_bactV4V5_P_Buffer_50_weeks	16S	PBuffer	50w	NucleoSpin	FE80_NS_bactV4V5_P_Buffer_50_weeks_S80_L001_R1_001.fastq.gz	FE80_NS_bactV4V5_P_Buffer_50_weeks_S80_L001_R2_001.fastq.gz
